date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,goal_diff,result,home_win,average_age,average_caps,fifa_ranking,recent_tournament_score
1990-10-14,Ghana,Burkina Faso,2.0,0.0,African Cup of Nations qualification,Accra,Ghana,False,2.0,1,1,26.5,30.0,45,5.0
1990-10-17,Croatia,United States,2.0,1.0,Friendly,Zagreb,Croatia,False,1.0,1,1,28.9,55.0,7,9.5
1990-10-17,England,Poland,2.0,0.0,UEFA Euro qualification,London,England,False,2.0,1,1,26.2,55.0,5,9.5
1990-10-17,Portugal,Netherlands,1.0,0.0,UEFA Euro qualification,Porto,Portugal,False,1.0,1,1,27.8,30.0,12,5.0
1990-10-23,South Korea,North Korea,1.0,0.0,Friendly,Seoul,South Korea,False,1.0,1,1,27.5,30.0,24,5.0
1990-10-31,Norway,Cameroon,6.0,1.0,Friendly,Oslo,Norway,False,5.0,1,1,26.5,55.0,11,9.5
1990-11-03,Italy,Russia,0.0,0.0,UEFA Euro qualification,Rome,Italy,False,0.0,0,0,26.9,30.0,15,5.0
1990-11-08,Brazil,Chile,0.0,0.0,Friendly,Belém,Brazil,False,0.0,0,0,27.5,55.0,4,9.5
1990-11-14,Austria,Northern Ireland,0.0,0.0,UEFA Euro qualification,Vienna,Austria,False,0.0,0,0,27.2,30.0,27,5.0
1990-11-14,Denmark,Yugoslavia,0.0,2.0,UEFA Euro qualification,Copenhagen,Denmark,False,-2.0,-1,0,27.9,30.0,23,5.0
1990-11-21,Netherlands,Greece,2.0,0.0,UEFA Euro qualification,Rotterdam,Netherlands,False,2.0,1,1,27.0,30.0,14,5.0
1990-11-21,United States,Russia,0.0,0.0,Friendly,Port of Spain,Trinidad and Tobago,True,0.0,0,0,25.5,30.0,18,5.0
1990-12-09,Cameroon,Gabon,2.0,1.0,UDEAC Cup,Brazzaville,Congo,True,1.0,1,1,26.8,30.0,35,5.0
1990-12-12,Mexico,Brazil,0.0,0.0,Friendly,Los Angeles,United States,True,0.0,0,0,27.8,30.0,19,5.0
1990-12-18,Algeria,Senegal,1.0,0.0,Friendly,Constantine,Algeria,False,1.0,1,1,28.2,30.0,37,5.0
1990-12-19,Germany,Switzerland,4.0,0.0,Friendly,Stuttgart,Germany,False,4.0,1,1,27.5,55.0,9,9.5
1990-12-19,Portugal,United States,1.0,0.0,Friendly,Maia,Portugal,False,1.0,1,1,27.8,30.0,12,5.0
1990-12-19,Spain,Albania,9.0,0.0,UEFA Euro qualification,Seville,Spain,False,9.0,1,1,26.5,60.0,3,9.8
1990-12-22,Croatia,Romania,2.0,0.0,Friendly,Rijeka,Croatia,False,2.0,1,1,28.9,55.0,7,9.5
1991-01-13,Ghana,Benin,4.0,0.0,African Cup of Nations qualification,Accra,Ghana,False,4.0,1,1,26.5,30.0,45,5.0
1991-01-13,Morocco,Ivory Coast,3.0,1.0,African Cup of Nations qualification,Rabat,Morocco,False,2.0,1,1,27.1,55.0,6,9.5
1991-01-16,Spain,Portugal,1.0,1.0,Friendly,Castellón de la Plana,Spain,False,0.0,0,0,26.5,60.0,3,9.8
1991-01-21,Cameroon,Algeria,0.0,0.0,Dakar Tournament,Dakar,Senegal,True,0.0,0,0,26.8,30.0,35,5.0
1991-01-21,Senegal,Ivory Coast,0.0,0.0,Dakar Tournament,Dakar,Senegal,False,0.0,0,0,27.6,30.0,20,5.0
